row, item_id, item_link, brand, product_name, price, shipping, total, score, total_ratings
23,N82E16813144106,https://www.newegg.com/Product/Product.aspx?Item=N82E16813144106,MSI,MSI Z370 GAMING M5 LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,190,3.99,194.98000000000002,0,0

24,N82E16813157816,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157816,ASRock,ASRock H370M Pro4 LGA 1151 (300 Series) Intel H370 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,79,3.99,83.97999999999999,0,0

25,N82E16813128873,https://www.newegg.com/Product/Product.aspx?Item=N82E16813128873,GIGABYTE,GIGABYTE GA-H110M-A (rev. 1.0) LGA 1151 Intel H110 HDMI SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,51,3.99,55.980000000000004,0,0

26,N82E16813130918,https://www.newegg.com/Product/Product.aspx?Item=N82E16813130918,MSI,MSI H110M Gaming LGA 1151 Intel H110 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,62,3.99,66.98,0,0

27,N82E16813119045,https://www.newegg.com/Product/Product.aspx?Item=N82E16813119045,ASUS,ASUS ROG Maximus X Code LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,279,0.99,280.98,0,0

28,N82E16813157796,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157796,ASRock,ASRock Z370 Pro4 LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,115,1.99,117.97999999999999,0,0

29,N82E16813145076,https://www.newegg.com/Product/Product.aspx?Item=N82E16813145076,GIGABYTE,GIGABYTE Z370 AORUS GAMING 7-OP LGA 1151 (300 Series) Intel Z370 ATX Motherboard with 32GB Intel Optane Memory,229,3.99,233.98000000000002,0,0

30,N82E16813119034,https://www.newegg.com/Product/Product.aspx?Item=N82E16813119034,ASUS,ASUS ROG Strix Z370-F Gaming LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,178,3.99,182.98000000000002,0,0

31,N82E16813119035,https://www.newegg.com/Product/Product.aspx?Item=N82E16813119035,ASUS,ASUS ROG Strix Z370-H Gaming LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,159,0.99,160.98000000000002,0,0

32,N82E16813144155,https://www.newegg.com/Product/Product.aspx?Item=N82E16813144155,MSI,MSI B360-A PRO LGA 1151 (300 Series) Intel B360 SATA 6Gb/s USB 3.1 ATX Intel Motherboard,79,3.99,83.97999999999999,0,0

33,N82E16813157733,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157733,ASRock,ASRock B250M-HDV LGA 1151 Intel B250 HDMI SATA 6Gb/s USB 3.1 Micro ATX Motherboards - Intel,47,3.99,51.980000000000004,0,0

34,N82E16813132991,https://www.newegg.com/Product/Product.aspx?Item=N82E16813132991,ASUS,ASUS ROG STRIX X299-E GAMING LGA2066 DDR4 M.2 USB 3.1 802.11AC WIFI X299 ATX Motherboard for Intel Core i9 and i7 X-Series Processors,282,3.99,286.98,0,0

35,N82E16813144105,https://www.newegg.com/Product/Product.aspx?Item=N82E16813144105,MSI,MSI Z370 GAMING PRO CARBON AC LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,198,3.99,202.98000000000002,0,0

36,N82E16813145040,https://www.newegg.com/Product/Product.aspx?Item=N82E16813145040,GIGABYTE,GIGABYTE Z370 HD3P (rev. 1.0) LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,119,1.99,121.97999999999999,0,0

37,N82E16813157793,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157793,ASRock,ASRock Z370M Pro4 LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,119,3.99,123.97999999999999,0,0

38,N82E16813131988,https://www.newegg.com/Product/Product.aspx?Item=N82E16813131988,ASUS,ASUS Q87M-E/CSM LGA 1150 Intel Q87 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,109,3.99,113.97999999999999,0,0

39,9SIA6ZP6FR8570,https://www.newegg.com/Product/Product.aspx?Item=9SIA6ZP6FR8570,EVGA,EVGA X299 Micro, 131-SX-E295-KR, LGA 2066, Intel X299, SATA 6Gb/s, USB 3.1, USB 3.0, mATX, Intel Motherboard,0,0,0.99,0,0

40,N82E16813145048,https://www.newegg.com/Product/Product.aspx?Item=N82E16813145048,GIGABYTE,GIGABYTE Z370P D3 (rev. 1.0) LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,109,0,109.99,0,0

41,N82E16813157788,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157788,ASRock,ASRock Fatal1ty Z370 Gaming K6 LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,169,3.99,173.98000000000002,0,0

42,N82E16813144108,https://www.newegg.com/Product/Product.aspx?Item=N82E16813144108,MSI,MSI Z370M GAMING PRO AC LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,160,3.99,164.98000000000002,0,0

43,N82E16813145064,https://www.newegg.com/Product/Product.aspx?Item=N82E16813145064,GIGABYTE,GIGABYTE B360M DS3H LGA 1151 (300 Series) Intel B360 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,68,3.99,72.97999999999999,0,0

44,N82E16813157815,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157815,ASRock,ASRock H370 Pro4 LGA 1151 (300 Series) Intel H370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,93,3.99,97.97999999999999,0,0

45,N82E16813144114,https://www.newegg.com/Product/Product.aspx?Item=N82E16813144114,MSI,MSI Z370M MORTAR LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,114,3.99,118.97999999999999,0,0

46,N82E16813144110,https://www.newegg.com/Product/Product.aspx?Item=N82E16813144110,MSI,MSI Z370 TOMAHAWK LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,139,3.99,143.98000000000002,0,0

